Congress,Years,Women total,Republican,% of women (Rep),% of party (Rep),Democratic,% of women (Dem),% of party (Dem)
65th,1917–1919,1,1,100%,0.5%,0,0%,0%
66th,1919–1921,0,0,0%,0%,0,0%,0%
67th,1921–1923,3,3,100%,0.3%,0,0%,0%
68th,1923–1925,1,1,100%,0.4%,0,0%,0%
69th,1925–1927,3,2,66.7%,0.4%,1,33.3%,0.5%
70th,1927–1929,5,3,60%,1.3%,2,40%,0.5%
71st,1929–1931,9,5,55.6%,1.9%,4,44.4%,1.8%
72nd,1931–1933,7,3,42.9%,1.4%,4,57.1%,1.4%
73rd,1933–1935,7,3,42.9%,1.7%,4,57.1%,1%
74th,1935–1937,6,2,33.3%,1.9%,4,66.7%,1.2%
75th,1937–1939,6,1,16.7%,1.1%,5,83.3%,1.2%
76th,1939–1941,8,4,50%,1.2%,4,50%,0.8%
77th,1941–1943,9,5,55.6%,3.1%,4,44.4%,0.7%
78th,1943–1945,8,6,75%,2.9%,2,25%,0.5%
79th,1945–1947,11,5,45.5%,2.6%,6,54.5%,1.7%
80th,1947–1949,7,5,71.4%,2%,2,28.6%,1.1%
81st,1949–1951,9,4,44.4%,2.3%,5,55.6%,1.5%
82nd,1951–1953,10,6,60%,3%,4,40%,0.9%
83rd,1953–1955,12,7,58.3%,2.7%,5,41.7%,2.3%
84th,1955–1957,17,7,41.2%,3%,10,58.8%,3.4%
85th,1957–1959,15,6,40%,3%,9,60%,3.8%
86th,1959–1961,17,8,47.1%,5.2%,9,52.9%,2.8%
87th,1961–1963,18,7,38.9%,3.5%,11,61.1%,3.4%
88th,1963–1965,12,6,50%,2.8%,6,50%,2.3%
89th,1965–1967,11,4,36.4%,2.9%,7,63.6%,2%
90th,1967–1969,11,5,45.5%,2.7%,6,54.5%,2.4%
91st,1969–1971,10,4,40%,2.1%,6,60%,2.5%
92nd,1971–1973,13,3,23.1%,1.1%,10,76.9%,3.5%
93rd,1973–1975,16,2,12.5%,1%,14,87.5%,5%
94th,1975–1977,19,5,26.3%,2.8%,14,73.7%,4.8%
95th,1977–1979,18,5,27.8%,3.5%,13,72.2%,4.5%
96th,1979–1981,16,5,31.3%,3.2%,11,68.8%,4%
97th,1981–1983,21,10,47.6%,4.7%,11,52.4%,3.7%
98th,1983–1985,22,9,40.9%,5.5%,13,59.1%,4.4%
99th,1985–1987,23,11,47.8%,6%,12,52.2%,4.3%
100th,1987–1989,24,11,45.8%,6.2%,13,54.2%,4.3%
101st,1989–1991,29,13,44.8%,6%,16,55.2%,5.6%
102nd,1991–1993,30,9,30%,5.5%,21,70%,7%
103rd,1993–1995,48,12,25%,6.8%,36,75%,13.6%
104th,1995–1997,50,18,36%,7.4%,32,64%,14.7%
105th,1997–1999,57,18,31.6%,6.6%,39,68.4%,17%
106th,1999–2001,58,17,29.3%,7.6%,41,70.7%,18.5%
107th,2001–2003,62,18,29%,8.1%,44,71%,19%
108th,2003–2005,63,21,33.3%,9.2%,42,66.7%,18.5%
109th,2005–2007,71,25,35.2%,9.9%,46,64.8%,20.9%
110th,2007–2009,78,21,26.9%,9.9%,57,73.1%,20.2%
111th,2009–2011,79,17,21.5%,9.6%,62,78.5%,21.5%
112th,2011–2013,79,24,30.4%,9.9%,55,69.6%,23.8%
113th,2013–2015,82,20,24.4%,8.2%,62,75.6%,29%
114th,2015–2017,84,22,26.2%,8.9%,62,73.8%,33%
115th,2017–2019,83,21,25.3%,8.7%,62,74.7%,32%
